name,slug,url,section,subcategory
QuickBooks Online,quickbooks-online,https://www.udemy.com/topic/quickbooks-online/,Business,Other Business
Management Consulting,management-consulting,https://www.udemy.com/topic/management-consulting/,Business,Business Strategy
Business Intelligence (BI),business-intelligence,https://www.udemy.com/topic/business-intelligence/,Business,Business Analytics & Intelligence
Six Sigma,six-sigma,https://www.udemy.com/topic/six-sigma/,Business,Operations
Agile,agile,https://www.udemy.com/topic/agile/,Business,Project Management
Entrepreneurship Fundamentals,entrepreneurship,https://www.udemy.com/topic/entrepreneurship/,Business,Entrepreneurship
Supply Chain,supply-chain,https://www.udemy.com/topic/supply-chain/,Business,Operations
Public Speaking,public-speaking,https://www.udemy.com/topic/public-speaking/,Business,Communication
Six Sigma Yellow Belt Certification,six-sigma-yellow-belt,https://www.udemy.com/topic/six-sigma-yellow-belt/,Business,Operations
Customer Service,customer-service,https://www.udemy.com/topic/customer-service/,Business,Sales
Fiction Writing,fiction-writing,https://www.udemy.com/topic/fiction-writing/,Business,Communication
Shopify,shopify,https://www.udemy.com/topic/shopify/,Business,E-Commerce
B2B Sales,b2b-sales,https://www.udemy.com/topic/b2b-sales/,Business,Sales
Data Analysis Expressions (DAX),dax,https://www.udemy.com/topic/dax/,Business,Business Analytics & Intelligence
CIPS Level 4 Diploma in Procurement and Supply,cips-level-4-diploma-in-procurement-and-supply,https://www.udemy.com/topic/cips-level-4-diploma-in-procurement-and-supply/,Business,Management
PMI Agile Certified Practitioner (PMI-ACP),pmi-acp,https://www.udemy.com/topic/pmi-acp/,Business,Project Management
Six Sigma Black Belt Certification,six-sigma-black-belt,https://www.udemy.com/topic/six-sigma-black-belt/,Business,Operations
Shopify Dropshipping,shopify-dropshipping,https://www.udemy.com/topic/shopify-dropshipping/,Business,E-Commerce
Real Estate,real-estate-fundamentals,https://www.udemy.com/topic/real-estate-fundamentals/,Business,Real Estate
Writing,writing,https://www.udemy.com/topic/writing/,Business,Communication
Virtual Assistant Skills,virtual-assistant,https://www.udemy.com/topic/virtual-assistant/,Business,Operations
Online Business,online-business,https://www.udemy.com/topic/online-business/,Business,Entrepreneurship
Business Communication,business-communication,https://www.udemy.com/topic/business-communication/,Business,Communication
Logistics Management,logistics-management,https://www.udemy.com/topic/logistics-management/,Business,Operations
Product Ownership,product-owner,https://www.udemy.com/topic/product-owner/,Business,Project Management
Data Warehouse,data-warehouse,https://www.udemy.com/topic/data-warehouse/,Business,Business Analytics & Intelligence
Etsy,etsy,https://www.udemy.com/topic/etsy/,Business,E-Commerce
Professional Scrum Master (PSM),professional-scrum-master-psm,https://www.udemy.com/topic/professional-scrum-master-psm/,Business,Project Management
Business Analytics,business-analytics,https://www.udemy.com/topic/business-analytics/,Business,Business Analytics & Intelligence
Piping,piping,https://www.udemy.com/topic/piping/,Business,Industry
E-Commerce,e-commerce,https://www.udemy.com/topic/e-commerce/,Business,E-Commerce
HR Analytics,hr-analytics,https://www.udemy.com/topic/hr-analytics/,Business,Human Resources
Certified Quality Engineer (CQE),certified-quality-engineer-cqe,https://www.udemy.com/topic/certified-quality-engineer-cqe/,Business,Operations
Business Plan,business-plan,https://www.udemy.com/topic/business-plan/,Business,Entrepreneurship
Oracle Primavera,oracle-primavera,https://www.udemy.com/topic/oracle-primavera/,Business,Project Management
Storytelling,storytelling,https://www.udemy.com/topic/storytelling/,Business,Communication
Microsoft Project,microsoft-project,https://www.udemy.com/topic/microsoft-project/,Business,Project Management
Data Visualization,data-visualization,https://www.udemy.com/topic/data-visualization/,Business,Business Analytics & Intelligence
Freelancing,freelancing,https://www.udemy.com/topic/freelancing/,Business,Entrepreneurship
Manager Training,manager-training,https://www.udemy.com/topic/manager-training/,Business,Management
Business Process Management (BPM),business-process-management,https://www.udemy.com/topic/business-process-management/,Business,Management
Process Mapping,process-mapping,https://www.udemy.com/topic/process-mapping/,Business,Business Analytics & Intelligence
Internal Auditing,internal-auditing,https://www.udemy.com/topic/internal-auditing/,Business,Management
Risk Management,risk-management,https://www.udemy.com/topic/risk-management/,Business,Management
Procurement,procurement,https://www.udemy.com/topic/procurement/,Business,Operations
